source_text,reason,length
System Health Report Failing Jobs,prior_approved_a1a2,33
System Health Report Queue,prior_approved_a1a2,26
System Health Report Tables,prior_approved_a1a2,27
System Health Report Workers,prior_approved_a1a2,28
Toggle Full Width,prior_approved_a1a2,17
Toggle Theme,prior_approved_a1a2,12
Translate Link Fields,prior_approved_a1a2,21
Try the new Print Designer,prior_approved_a1a2,26
Update Amendment Naming,prior_approved_a1a2,23
Update Hooks Resolution Order,prior_approved_a1a2,29
Update Order,prior_approved_a1a2,12
Update Password,prior_approved_a1a2,15
Update Profile,prior_approved_a1a2,14
Update Series Counter,prior_approved_a1a2,21
Update from Frappe Cloud,prior_approved_a1a2,24
Update {0} records,prior_approved_a1a2,18
Use the new Print Format Builder,prior_approved_a1a2,32
User Activity Report,prior_approved_a1a2,20
User Activity Report Without Sort,prior_approved_a1a2,33
User Group,prior_approved_a1a2,10
User Group Member,prior_approved_a1a2,17
User Menu,prior_approved_a1a2,9
View Audit Trail,prior_approved_a1a2,16
View Doctype Permissions,prior_approved_a1a2,24
View File,prior_approved_a1a2,9
View Full Log,prior_approved_a1a2,13
View Sidebar,prior_approved_a1a2,12
View Switcher,prior_approved_a1a2,13
View all {0} users,prior_approved_a1a2,18
View your response,prior_approved_a1a2,18
Web Form List Column,prior_approved_a1a2,20
Website Search Field,prior_approved_a1a2,20
What's New,prior_approved_a1a2,10
Workspace Link,prior_approved_a1a2,14
Workspace Quick List,prior_approved_a1a2,20
Workspace Sidebar,prior_approved_a1a2,17
Workspace Sidebar Item,prior_approved_a1a2,22
Workspaces,prior_approved_a1a2,10
{0} List View Settings,prior_approved_a1a2,22
