app,source_text,suggested_ar,status
erpnext,A condition for a Shipping Rule,,unreviewed
erpnext,A customer must have primary contact email.,,unreviewed
erpnext,A driver must be set to submit.,,unreviewed
erpnext,A logical Warehouse against which stock entries are made.,,unreviewed
erpnext,A naming series conflict occurred while creating serial numbers. Please change the naming series for the item {0}.,,unreviewed
erpnext,A template with tax category {0} already exists. Only one template is allowed with each tax category,,unreviewed
erpnext,A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,,unreviewed
erpnext,ACC-PINV-.YYYY.-,,unreviewed
erpnext,AMC Expiry (Serial),,unreviewed
erpnext,API Details,,unreviewed
erpnext,AWB Number,,unreviewed
erpnext,Abampere,,unreviewed
erpnext,Abbreviation: {0} must appear only once,,unreviewed
erpnext,Acceptance Criteria Formula,,unreviewed
erpnext,Acceptance Criteria Value,,unreviewed
erpnext,Accepted Qty in Stock UOM,,unreviewed
erpnext,Access Key,,unreviewed
erpnext,Access Key is required for Service Provider: {0},,unreviewed
erpnext,According to CEFACT/ICG/2010/IC013 or CEFACT/ICG/2010/IC010,,unreviewed
erpnext,"According to the BOM {0}, the Item '{1}' is missing in the stock entry.",,unreviewed
erpnext,Account is mandatory,,unreviewed
erpnext,Account not Found,,unreviewed
erpnext,Account {0} added multiple times,,unreviewed
erpnext,Account {0} cannot be converted to Group as it is already set as {1} for {2}.,,unreviewed
erpnext,Account {0} cannot be disabled as it is already set as {1} for {2}.,,unreviewed
erpnext,Account {0} does not belong to company {1},,unreviewed
erpnext,Account {0} doesn't belong to Company {1},,unreviewed
erpnext,Account {0} is disabled.,,unreviewed
erpnext,Account {0} should be of type Expense,,unreviewed
erpnext,Accounting Entry for Landed Cost Voucher for SCR {0},,unreviewed
erpnext,Accounting Entry for {0},,unreviewed
erpnext,Accounting entries are frozen up to this date. Only users with the specified role can create or modify entries before this date.,,unreviewed
erpnext,Accrued Expenses,,unreviewed
erpnext,Accumulated Monthly Budget for Account {0} against {1} {2} is {3}. It will be collectively ({4}) exceeded by {5},,unreviewed
erpnext,Accumulated Monthly Budget for Account {0} against {1}: {2} is {3}. It will be exceeded by {4},,unreviewed
erpnext,Acre,,unreviewed
erpnext,Acre (US),,unreviewed
erpnext,Action if Accumulative Monthly Budget Exceeded on Cumulative Expense,,unreviewed
erpnext,Action if Anual Budget Exceeded on Cumulative Expense,,unreviewed
erpnext,Action if Same Rate is Not Maintained Throughout  Internal Transaction,,unreviewed
erpnext,Action if Same Rate is Not Maintained Throughout Sales Cycle,,unreviewed
erpnext,Actual End Date cannot be before Actual Start Date,,unreviewed
erpnext,Actual Qty {0} / Waiting Qty {1},,unreviewed
erpnext,Actual Qty: Quantity available in the warehouse.,,unreviewed
erpnext,Ad-hoc Qty,,unreviewed
erpnext,Add Corrective Operation Cost in Finished Good Valuation,,unreviewed
erpnext,Add Items in the Purpose Table,,unreviewed
erpnext,Add Serial / Batch No (Rejected Qty),,unreviewed
erpnext,Added Supplier Role to User {0}.,,unreviewed
erpnext,Added {1} Role to User {0}.,,unreviewed
erpnext,Additional Discount Amount ({discount_amount}) cannot exceed the total before such discount ({total_before_discount}),,unreviewed
erpnext,"Additional Transferred Qty {0}
""
""\t\t\t\t\tcannot be greater than {1}.
""
""\t\t\t\t\tTo fix this, increase the percentage value
""
""\t\t\t\t\tof the field 'Transfer Extra Raw Materials to WIP'
""
""\t\t\t\t\tin Manufacturing Settings.",,unreviewed
erpnext,Additional {0} {1} of item {2} required as per BOM to complete this transaction,,unreviewed
erpnext,Adjustment based on Purchase Invoice rate,,unreviewed
erpnext,Advance Account: {0} must be in either customer billing currency: {1} or Company default currency: {2},,unreviewed
erpnext,Advance paid against {0} {1} cannot be greater than Grand Total {2},,unreviewed
erpnext,Advance payments allocated against orders will only be fetched,,unreviewed
erpnext,Aerospace,,unreviewed
erpnext,Against Customer Order {0},,unreviewed
erpnext,Against Supplier Invoice {0},,unreviewed
erpnext,Ageing Report based on {0} up to {1},,unreviewed
erpnext,Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,,unreviewed
erpnext,Airline,,unreviewed
erpnext,All Parties ,,unreviewed
erpnext,All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,,unreviewed
erpnext,All allocations have been successfully reconciled,,unreviewed
erpnext,All items are already requested,,unreviewed
erpnext,All items have already been received,,unreviewed
erpnext,All items in this document already have a linked Quality Inspection.,,unreviewed
erpnext,All items must be linked to a Sales Order or Subcontracting Inward Order for this Sales Invoice.,,unreviewed
erpnext,All linked Sales Orders must be subcontracted.,,unreviewed
erpnext,All the Comments and Emails will be copied from one document to another newly created document(Lead -> Opportunity -> Quotation) throughout the CRM documents.,,unreviewed
erpnext,All the items have been already returned.,,unreviewed
erpnext,"All the required items (raw materials) will be fetched from BOM and populated in this table. Here you can also change the Source Warehouse for any item. And during the production, you can track transferred raw materials from this table.",,unreviewed
erpnext,Allow Alternative Item must be checked on Item {},,unreviewed
erpnext,Allow Editing of Items and Quantities in Work Order,,unreviewed
erpnext,Allow Implicit Pegged Currency Conversion,,unreviewed
erpnext,Allow Item to Be Added Multiple Times in a Transaction,,unreviewed
erpnext,Allow Item to be Added Multiple Times in a Transaction,,unreviewed
erpnext,Allow Lead Duplication based on Emails,,unreviewed
erpnext,Allow Purchase Order with Zero Quantity,,unreviewed
erpnext,Allow Quotation with Zero Quantity,,unreviewed
erpnext,Allow Request for Quotation with Zero Quantity,,unreviewed
erpnext,Allow Sales Order Creation For Expired Quotation,,unreviewed
erpnext,Allow Sales Order with Zero Quantity,,unreviewed
erpnext,Allow Supplier Quotation with Zero Quantity,,unreviewed
erpnext,Allow UOM with Conversion Rate Defined in Item,,unreviewed
erpnext,Allow Variant UOM to be different from Template UOM,,unreviewed
erpnext,Allow existing Serial No to be Manufactured/Received again,,unreviewed
erpnext,Allow material consumptions without immediately manufacturing finished goods against a Work Order,,unreviewed
erpnext,Allow multi-currency invoices against single party account ,,unreviewed
erpnext,Allow to Edit Stock UOM Qty for Purchase Documents,,unreviewed
